Nazwa utworu;Artysta;L. Artystow;Rok wydania;Miesiac wydania;Dzien wydania;W ilu playlistach;L. odtworzen;bpm
Kiss Me More (feat. SZA);SZA, Doja Cat;2;2021;4;9;15867;1575;111
Bad Habits;Ed Sheeran;1;2020;9;3;12755;1556;126
Bad Habits;Ed Sheeran;1;2020;9;3;12755;1556;126
Sweet Child O  Mine;Guns N  Roses;1;1987;1;1;41231;1553;125
Locked Out Of Heaven;Bruno Mars;1;2012;12;5;1622;1481;144
Locked Out Of Heaven;Bruno Mars;1;2012;12;5;1622;1481;144
Take On Me;a-ha;1;1984;10;19;44927;1479;84
Payphone;Maroon 5, Wiz Khalifa;2;2012;1;1;14143;1479;110
Take On Me;a-ha;1;1984;10;19;44927;1479;84
Payphone;Maroon 5, Wiz Khalifa;2;2012;1;1;14143;1479;110
Rolling in the Deep;Adele;1;2010;11;29;35684;1473;105
Somebody That I Used To Know;Gotye, Kimbra;2;2011;1;1;42798;1457;129
The Nights;Avicii;1;2014;1;1;17354;1456;126
All I Want for Christmas Is You;Mariah Carey;1;1994;10;28;25653;1450;150
Call Out My Name;The Weeknd;1;2018;3;29;11087;1450;134
All I Want for Christmas Is You;Mariah Carey;1;1994;10;28;25653;1450;150
Call Out My Name;The Weeknd;1;2018;3;29;11087;1450;134
Peaches (feat. Daniel Caesar & Giveon);Justin Bieber, Daniel Caesar, Giveon;3;2021;3;19;14140;1446;90
Peaches (feat. Daniel Caesar & Giveon);Justin Bieber, Daniel Caesar, Giveon;3;2021;3;19;14140;1446;90
Me Porto Bonito;Chencho Corleone, Bad Bunny;2;2022;5;6;8870;1441;92
Me Porto Bonito;Chencho Corleone, Bad Bunny;2;2022;5;6;8870;1441;92
Adore You;Harry Styles;1;2019;12;6;13454;1439;99
LA CANCI?;J Balvin, Bad Bunny;2;2019;6;28;6398;1435;176
LA CANCI?;J Balvin, Bad Bunny;2;2019;6;28;6398;1435;176
The Real Slim Shady;Eminem;1;2000;1;1;20763;1425;104
The Real Slim Shady;Eminem;1;2000;1;1;20763;1425;104
The Night We Met;Lord Huron;1;2015;2;2;18515;1410;174
The Night We Met;Lord Huron;1;2015;2;2;18515;1410;174
Easy On Me;Adele;1;2021;10;14;10195;1406;142
Easy On Me;Adele;1;2021;10;14;10195;1406;142
Let Me Down Slowly;Alec Benjamin;1;2018;5;25;5897;1375;150
Let Me Down Slowly;Alec Benjamin;1;2018;5;25;5897;1375;150
Beggin;M??ne;1;2017;12;8;8559;1368;134
Beggin;M??ne;1;2017;12;8;8559;1368;134
Numb;Linkin Park;1;2003;3;24;20111;1361;110
Numb;Linkin Park;1;2003;3;24;20111;1361;110
Gangsta s Paradise;Coolio, L.V.;2;1995;7;11;10624;1358;80
Gangsta s Paradise;Coolio, L.V.;2;1995;7;11;10624;1358;80
Quevedo: Bzrp Music Sessions, Vol. 52;Bizarrap, Quevedo;2;2022;7;6;8506;1357;128
Quevedo: Bzrp Music Sessions, Vol. 52;Bizarrap, Quevedo;2;2022;7;6;8506;1357;128
Blank Space;Taylor Swift;1;2014;1;1;11434;1356;96
Blank Space;Taylor Swift;1;2014;1;1;11434;1356;96
Woman;Doja Cat;1;2021;6;25;9424;1329;108
Woman;Doja Cat;1;2021;6;25;9424;1329;108
Flowers;Miley Cyrus;1;2023;1;12;12211;1317;118
Flowers;Miley Cyrus;1;2023;1;12;12211;1317;118
Pepas;Farruko;1;2021;6;24;14114;1310;130
Pepas;Farruko;1;2021;6;24;14114;1310;130
Callaita;Bad Bunny, Tainy;2;2019;5;31;9539;1304;176
Shivers;Ed Sheeran;1;2021;9;9;10147;1302;141
Heather;Conan Gray;1;2020;3;20;6170;1302;92
Shivers;Ed Sheeran;1;2021;9;9;10147;1302;141
Heather;Conan Gray;1;2020;3;20;6170;1302;92
I Wanna Be Yours;Arctic Monkeys;1;2013;1;1;12859;1297;135
I Wanna Be Yours;Arctic Monkeys;1;2013;1;1;12859;1297;135
Iris;The Goo Goo Dolls;1;1998;3;31;13101;1285;156
