Nazwa utworu;Artysta;L. Artystow;Rok wydania;Miesiac wydania;Dzien wydania;W ilu playlistach;L. odtworzen;bpm
Fin de Semana;Oscar Maydon, Junior H;2;2023;1;13;592;307;98
Fin de Semana;Oscar Maydon, Junior H;2;2023;1;13;592;307;98
Me Fui de Vacaciones;Bad Bunny;1;2022;5;6;1443;306;85
LOVE DIVE;IVE;1;2022;4;5;753;306;118
Gato de Noche;Nengo Flow, Bad Bunny;2;2022;12;22;2651;304;94
PUNTO 40;Baby Rasta, Rauw Alejandro;2;2022;9;22;3006;304;107
Gato de Noche;Nengo Flow, Bad Bunny;2;2022;12;22;2651;304;94
PUNTO 40;Baby Rasta, Rauw Alejandro;2;2022;9;22;3006;304;107
SPIT IN MY FACE!;ThxSoMch;1;2022;10;31;629;303;94
WHERE SHE GOES;Bad Bunny;1;2023;5;18;3133;303;144
SPIT IN MY FACE!;ThxSoMch;1;2022;10;31;629;303;94
WHERE SHE GOES;Bad Bunny;1;2023;5;18;3133;303;144
WHERE SHE GOES;Bad Bunny;1;2023;5;18;3133;303;144
WHERE SHE GOES;Bad Bunny;1;2023;5;18;3133;303;144
SPIT IN MY FACE!;ThxSoMch;1;2022;10;31;573;302;166
SPIT IN MY FACE!;ThxSoMch;1;2022;10;31;573;302;166
Yet To Come;BTS;1;2022;6;10;829;302;172
Where Did You Go?;MNEK, Jax Jones;2;2022;1;26;4531;301;127
N95;Kendrick Lamar;1;2022;5;13;5542;301;140
ANTIFRAGILE;LE SSERAFIM;1;2022;10;17;761;301;105
ANTIFRAGILE;LE SSERAFIM;1;2022;10;17;761;301;105
Chale;Eden Mu??;1;2022;2;18;695;300;189
Sweetest Pie;Dua Lipa, Megan Thee Stallion;2;2022;3;11;3501;300;124
LET GO;Central Cee;1;2022;12;15;2301;298;146
LET GO;Central Cee;1;2022;12;15;2301;298;146
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By;Rihanna;1;2022;10;28;3311;297;177
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By;Rihanna;1;2022;10;28;3311;297;177
It s Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra);Perry Como, The Fontane Sisters, Mitchell Ayres & His Orchestra;3;1958;1;1;6290;296;113
It s Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra);Perry Como, The Fontane Sisters, Mitchell Ayres & His Orchestra;3;1958;1;1;6290;296;113
Numb;Marshmello, Khalid;2;2022;6;10;3879;295;120
Siempre Pendientes;Peso Pluma, Luis R Conriquez;2;2022;8;15;685;295;136
CAIRO;Karol G, Ovy On The Drums;2;2022;11;13;2418;294;115
CAIRO;Karol G, Ovy On The Drums;2;2022;11;13;2418;294;115
ceilings;Lizzy McAlpine;1;2022;4;8;3242;293;148
ceilings;Lizzy McAlpine;1;2022;4;8;3242;293;148
Last Last;Burna Boy;1;2022;5;12;4526;293;88
Mal Feito - Ao Vivo;Mar??lia Mendon??a, Hugo & G;2;2022;1;14;971;292;124
Daylight;Harry Styles;1;2022;5;20;2775;291;146
Every Summertime;NIKI;1;2021;8;10;1211;290;79
Ch y la Pizza;Fuerza Regida, Natanael Cano;2;2022;12;1;536;288;149
Ch y la Pizza;Fuerza Regida, Natanael Cano;2;2022;12;1;536;288;149
It ll Be Okay;Shawn Mendes;1;2021;12;1;1950;287;78
It ll Be Okay;Shawn Mendes;1;2021;12;1;1950;287;78
El Rescate;Grupo Marca Registrada, Junior H;2;2022;7;22;527;287;99
Crazy What Love Can Do;David Guetta, Ella Henderson, Becky Hill;3;2022;3;18;5290;287;123
Too Many Nights (feat. Don Toliver & with Future);Future, Metro Boomin, Don Toliver;3;2022;12;2;2110;286;88
Too Many Nights (feat. Don Toliver & with Future);Future, Metro Boomin, Don Toliver;3;2022;12;2;2110;286;88
Radio;Lana Del Rey;1;2011;1;1;9389;285;150
How Do I Say Goodbye;Dean Lewis;1;2022;8;5;2163;285;82
Nobody Gets Me;SZA;1;2022;12;9;2536;285;100
Radio;Lana Del Rey;1;2011;1;1;9389;285;150
How Do I Say Goodbye;Dean Lewis;1;2022;8;5;2163;285;82
Nobody Gets Me;SZA;1;2022;12;9;2536;285;100
Hold Me Closer;Elton John, Britney Spears;2;2017;11;10;4967;284;126
Pasoori;Shae Gill, Ali Sethi;2;2022;2;6;349;284;92
Aguacero;Bad Bunny;1;2022;5;6;829;283;121
Un Verano Sin Ti;Bad Bunny;1;2022;5;6;1004;283;188
Forever;Labrinth;1;2019;10;4;3618;283;80
Ens????ame;Bad Bunny;1;2022;5;6;1112;280;105
ULTRA SOLO REMIX;De La Ghetto, Feid, Polima WestCoast, Paloma Mami, Pailita;5;2022;6;16;2341;280;110
Ferxxo 100;Feid;1;2022;6;3;1647;279;164
BILLIE EILISH.;Armani White;1;2022;1;20;2537;277;100
Trance (with Travis Scott & Young Thug);Travis Scott, Young Thug, Metro Boomin;3;2022;12;2;1682;276;119
Trance (with Travis Scott & Young Thug);Travis Scott, Young Thug, Metro Boomin;3;2022;12;2;1682;276;119
Caile;Luar La L;1;2020;12;18;1494;274;122
Little Freak;Harry Styles;1;2022;5;20;2302;273;142
Pantysito;Feid, Alejo, Robi;3;2022;3;18;2995;273;98
Cooped Up (with Roddy Ricch);Post Malone, Roddy Ricch;2;2022;5;12;2942;272;125
Low;SZA;1;2022;12;9;1911;272;145
Low;SZA;1;2022;12;9;1911;272;145
Le?;Mar??lia Mendo;1;2022;12;9;993;268;130
Surface Pressure;Jessica Darrow;1;2021;11;19;1756;268;180
Le?;Mar??lia Mendo;1;2022;12;9;993;268;130
Surface Pressure;Jessica Darrow;1;2021;11;19;1756;268;180
X SI VOLVEMOS;Karol G, Romeo Santos;2;2023;2;2;2127;267;178
X SI VOLVEMOS;Karol G, Romeo Santos;2;2023;2;2;2127;267;178
Car s Outside;James Arthur;1;2019;10;18;794;266;150
Car s Outside;James Arthur;1;2019;10;18;794;266;150
After LIKE;IVE;1;2022;8;22;767;266;125
Attention;NewJeans;1;2022;8;1;799;265;105
Mon??y so;YEAT;1;2021;9;10;1473;264;138
Vai L?? Em Casa;Mar??lia Mendon??a, George Henrique &;2;2021;10;22;772;264;158
Ojos Marrones;Lasso;1;2022;2;6;795;263;120
Bombonzinho - Ao Vivo;Israel & Rodolffo, Ana Castela;2;2022;11;3;1254;263;158
Bombonzinho - Ao Vivo;Israel & Rodolffo, Ana Castela;2;2022;11;3;1254;263;158
My Only Wish (This Year);Britney Spears;1;2000;11;7;6952;261;147
Salimo de Noche;Trueno, Tiago pzk;2;2021;10;21;1057;261;84
My Only Wish (This Year);Britney Spears;1;2000;11;7;6952;261;147
Peru;Ed Sheeran, Fireboy DML;2;2021;12;23;2999;261;108
Salimo de Noche;Trueno, Tiago pzk;2;2021;10;21;1057;261;84
Numb Little Bug;Em Beihold;1;2022;1;28;2026;259;85
Esque??a-Me Se For C;Mar??lia Mendon??a, Maiara &;2;2021;10;14;580;258;122
El Gordo Trae El Mando;Chino Pacas;1;2023;1;27;539;256;140
Moonlight;Kali Uchis;1;2023;2;24;2649;256;137
Moonlight;Kali Uchis;1;2023;2;24;2649;256;137
El Gordo Trae El Mando;Chino Pacas;1;2023;1;27;539;256;140
When You re Gone;Shawn Mendes;1;2022;3;31;2092;255;147
PUFFIN ON ZOOTIEZ;Future;1;2022;4;29;2350;254;125
Vigilante Shit;Taylor Swift;1;2022;10;21;1948;254;80
Down Under (feat. Colin Hay);Luude, Colin Hay;2;2021;11;19;3541;253;172
Coco Chanel;Bad Bunny, Eladio Carrion;2;2023;3;17;1962;250;150
Coco Chanel;Bad Bunny, Eladio Carrion;2;2023;3;17;1962;250;150
Villano Antillano: Bzrp Music Sessions, Vol. 51;Bizarrap, Villano Antillano;2;2022;6;8;1401;249;128
2 Be Loved (Am I Ready);Lizzo;1;2022;7;14;3682;248;156
ELEVEN;IVE;1;2021;12;1;521;248;120
Rara Vez;Taiu, Milo j;2;2023;2;8;893;248;120
Rara Vez;Taiu, Milo j;2;2023;2;8;893;248;120
Die For You;Joji;1;2022;11;4;1703;246;148
Die For You;Joji;1;2022;11;4;1703;246;148
Stay Alive (Prod. SUGA of BTS);Jung Kook;1;2022;2;11;590;246;130
Agosto;Bad Bunny;1;2022;5;6;897;246;115
Thousand Miles;The Kid Laroi;1;2022;4;22;2050;245;81
San Lucas;Kevin Kaarl;1;2019;11;7;407;245;92
Cay?? La Noche (feat. Cruz Cafun??, Abhir Hathi, Bejo, EL IMA);Quevedo, La Pantera, Juseph, Cruz Cafun??, B??jo, Abhir Hathi;7;2022;1;14;1034;245;174
TO THE MOON;Jnr Choi;1;2021;11;5;2979;245;144
THE SHADE;Rex Orange County;1;2022;3;11;1189;245;120
Afraid To Feel;LF System;1;2022;5;2;5898;245;128
B.O.T.A. (Baddest Of Them All) - Edit;Interplanetary Criminal, Eliza Rose;2;2022;6;15;5153;245;137
Run Rudolph Run - Single Version;Chuck Berry;1;1958;1;1;8612;245;152
Heart To Heart;Mac DeMarco;1;2019;5;10;1640;245;150
Run Rudolph Run - Single Version;Chuck Berry;1;1958;1;1;8612;245;152
Heart To Heart;Mac DeMarco;1;2019;5;10;1640;245;150
TO THE MOON;Jnr Choi;1;2021;11;5;2979;245;144
Christmas (Baby Please Come Home);Darlene Love;1;1963;11;22;9122;243;126
Christmas (Baby Please Come Home);Darlene Love;1;1963;11;22;9122;243;126
Malvad??;Xam??, Gustah, Neo B;3;2021;11;30;648;241;133
Malvad??;Xam??, Gustah, Neo B;3;2021;11;30;648;241;133
Don t You Worry;David Guetta, Shakira, Black Eyed Peas;3;2022;6;16;2442;241;132
Ginseng Strip 2002;Yung Lean;1;2013;8;16;4310;241;115
With you;HA SUNG WOON, Jimin;2;2022;4;24;343;241;150
Plan A;Paulo Londra;1;2022;3;23;1105;241;174
Forget Me;Lewis Capaldi;1;2022;9;9;2520;239;102
Hold My Hand;Lady Gaga;1;2022;5;3;2528;238;148
Die Hard;Kendrick Lamar, Blxst, Amanda Reifer;3;2022;5;13;4627;237;101
Tom s Diner;AnnenMayKantereit, Giant Rooks;2;2019;6;28;2605;237;98
Entre Nosotros (Remix) [con Nicki Nicole];Lit Killah, Maria Becerra, Tiago pzk, NICKI NICOLE;4;2022;1;5;759;237;170
Qu?? Ago;Yuridia, Angela Aguilar;2;2022;10;20;660;237;98
Entre Nosotros (Remix) [con Nicki Nicole];Lit Killah, Maria Becerra, Tiago pzk, NICKI NICOLE;4;2022;1;5;759;237;170
Qu?? Ago;Yuridia, Angela Aguilar;2;2022;10;20;660;237;98
Keep Driving;Harry Styles;1;2022;5;20;2094;236;165
Typa Girl;BLACKPINK;1;2022;9;16;452;236;132
Love Of My Life;Harry Styles;1;2022;5;20;1933;234;118
Nosso Quadro;Ana Castela, AgroPlay;2;2023;2;2;894;234;160
Nosso Quadro;Ana Castela, AgroPlay;2;2023;2;2;894;234;160
FLOWER;JISOO;1;2023;3;31;839;233;124
FLOWER;JISOO;1;2023;3;31;839;233;124
SUPERMODEL;M??ne;1;2022;5;13;2265;232;121
Mujeriego;Ryan Castro;1;2021;12;17;1492;232;80
MERCHO;Migrantes, LiL CaKe, Nico Valdi;3;2022;12;16;1267;231;93
MERCHO;Migrantes, LiL CaKe, Nico Valdi;3;2022;12;16;1267;231;93
FEARLESS;LE SSERAFIM;1;2022;5;2;629;229;104
Starlight;Dave;1;2022;3;3;1856;229;124
Evergreen (You Didn???t Deserve Me A;Omar Apollo;1;2022;4;8;2499;228;82
Evergreen (You Didn???t Deserve Me A;Omar Apollo;1;2022;4;8;2499;228;82
When I???m Gone (with Katy;Katy Perry, Alesso;2;2021;12;29;3270;227;125
THE LONELIEST;M??ne;1;2022;10;7;1585;225;130
I AM WOMAN;Emmy Meli;1;2021;11;18;2795;225;170
I AM WOMAN;Emmy Meli;1;2021;11;18;2795;225;170
Marisola - Remix;Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile;5;2022;12;15;1845;224;95
El Merengue;Marshmello, Manuel Turizo;2;2023;3;3;2114;224;124
Marisola - Remix;Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile;5;2022;12;15;1845;224;95
El Merengue;Marshmello, Manuel Turizo;2;2023;3;3;2114;224;124
Eu Gosto Assim - Ao Vivo;Gustavo Mioto, Mari Fernandez;2;2022;9;16;1473;223;154
Eu Gosto Assim - Ao Vivo;Gustavo Mioto, Mari Fernandez;2;2022;9;16;1473;223;154
Question...?;Taylor Swift;1;2022;10;21;1608;223;109
Se Le Ve;Arcangel, De La Ghetto, Justin Quiles, Lenny Tav??rez, Sech, Dalex, Dimelo Flow, Rich Music;8;2021;8;12;1560;223;84
Betty (Get Money);Yung Gravy;1;2022;6;10;2402;222;102
KU LO SA - A COLORS SHOW;Oxlade;1;2022;6;10;2019;222;93
PLAYA DEL INGL?;Myke Towers, Quevedo;2;2022;12;15;1701;221;113
PLAYA DEL INGL?;Myke Towers, Quevedo;2;2022;12;15;1701;221;113
Bad Decisions (with BTS & Snoop Dogg);Snoop Dogg, BTS, Benny Blanco;3;2022;8;5;1456;219;120
Mastermind;Taylor Swift;1;2022;10;21;1936;218;126
Cupido;Tini;1;2023;2;14;1240;218;120
Cupido;Tini;1;2023;2;14;1240;218;120
POP!;Nayeon;1;2022;6;24;571;214;97
WORTH NOTHING;Twisted, Oliver Tree;2;2022;9;28;1612;213;140
WORTH NOTHING;Twisted, Oliver Tree;2;2022;9;28;1612;213;140
MANIAC;Stray Kids;1;2022;3;18;651;212;120
That That (prod. & feat. SUGA of BTS);PSY, Suga;2;2022;4;29;802;212;130
El Apag?;Bad Bunny;1;2022;5;6;1209;212;118
Polaroid Love;ENHYPEN;1;2022;1;10;461;211;138
Miracle (with Ellie Goulding);Calvin Harris, Ellie Goulding;2;2023;3;10;5120;211;143
Miracle (with Ellie Goulding);Calvin Harris, Ellie Goulding;2;2023;3;10;5120;211;143
KICK BACK;Kenshi Yonezu;1;2022;10;12;574;210;102
KICK BACK;Kenshi Yonezu;1;2022;10;12;574;210;102
Problem?;Alvaro Diaz, Rauw Alejandro;2;2021;10;22;1517;210;92
Sin Se??;Ovy On The Drums, Quevedo;2;2022;7;22;1097;209;118
DAN??A;Mc Pedrinho, Pedro Sampaio;2;2022;2;1;911;208;135
Watch This - ARIZONATEARS Pluggnb Remix;sped up nightcore, ARIZONATEARS, Lil Uzi Vert;3;2023;2;5;1638;207;130
Watch This - ARIZONATEARS Pluggnb Remix;sped up nightcore, ARIZONATEARS, Lil Uzi Vert;3;2023;2;5;1638;207;130
MIENTRAS ME CURO DEL CORA;Karol G;1;2023;2;24;1020;206;80
MIENTRAS ME CURO DEL CORA;Karol G;1;2023;2;24;1020;206;80
When I R.I.P.;Labrinth;1;2019;10;4;2578;204;80
Hati-Hati di Jalan;Tulus;1;2022;3;3;200;203;72
The Astronaut;Jin;1;2022;10;28;481;203;125
Thought You Should Know;Morgan Wallen;1;2022;5;6;968;203;140
Thought You Should Know;Morgan Wallen;1;2022;5;6;968;203;140
Tattoo;Loreen;1;2023;2;25;2988;202;150
Tattoo;Loreen;1;2023;2;25;2988;202;150
Static;Steve Lacy;1;2022;7;15;1613;202;79
Bar;Tini, L-Gante;2;2021;11;11;755;201;94
Peso Pluma: Bzrp Music Sessions, Vol. 55;Bizarrap, Peso Pluma;2;2023;5;31;1313;201;133
Less Than Zero;The Weeknd;1;2022;1;7;2800;201;143
Peso Pluma: Bzrp Music Sessions, Vol. 55;Bizarrap, Peso Pluma;2;2023;5;31;1313;201;133
Less Than Zero;The Weeknd;1;2022;1;7;2800;201;143
Grapejuice;Harry Styles;1;2022;5;20;1986;200;183
DANCE CRIP;Trueno;1;2021;11;17;731;199;106
Limbo;Freddie Dredd;1;2022;8;11;688;199;75
Limbo;Freddie Dredd;1;2022;8;11;688;199;75
En Paris;El Chachito, Junior H;2;2022;12;24;406;198;139
En Paris;El Chachito, Junior H;2;2022;12;24;406;198;139
IDGAF (with blackbear);Blackbear, BoyWithUke;2;2022;3;18;625;198;98
Spin Bout U;Drake, 21 Savage;2;2022;11;4;1652;198;130
Pass The Dutchie;Musical Youth;1;1982;1;1;5328;196;151
Massive;Drake;1;2022;6;17;5263;196;125
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage];Travis Scott, 21 Savage, Metro Boomin;3;2022;12;2;1602;196;88
Eyes Closed;Ed Sheeran;1;2023;3;23;2915;196;107
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage];Travis Scott, 21 Savage, Metro Boomin;3;2022;12;2;1602;196;88
Eyes Closed;Ed Sheeran;1;2023;3;23;2915;196;107
True Love;Kanye West, XXXTENTACION;2;2022;5;27;2129;195;84
Nail Tech;Jack Harlow;1;2022;2;18;2939;193;150
Pipoco;Melody, Ana Castela, Dj Chris No Beat;3;2022;5;20;1112;192;135
La Bebe;Yng Lvcas;1;2021;12;24;489;192;170
La Bebe;Yng Lvcas;1;2021;12;24;489;192;170
Sticky;Drake;1;2022;6;17;2814;191;137
Pussy & Millions (feat. Travis Scott);Drake, Travis Scott, 21 Savage;3;2022;11;4;1930;191;122
In My Head;Lil Tjay;1;2022;4;1;1185;191;143
Potion (with Dua Lipa & Young Thug);Calvin Harris, Dua Lipa, Young Thug;3;2022;5;27;3983;191;100
Slut Me Out;NLE Choppa;1;2022;4;22;816;190;121
Slut Me Out;NLE Choppa;1;2022;4;22;816;190;121
Fr??gil (feat. Grupo Front;Yahritza Y Su Esencia, Grupo Frontera;2;2023;4;7;672;189;150
Fr??gil (feat. Grupo Front;Yahritza Y Su Esencia, Grupo Frontera;2;2023;4;7;672;189;150
Talk that Talk;TWICE;1;2022;8;26;615;189;120
Cinema;Harry Styles;1;2022;5;20;2171;189;106
Daydreaming;Harry Styles;1;2022;5;20;1900;188;114
Casei Com a Putaria;MC Ryan SP, Love Funk, Mc Paiva ZS;3;2022;7;1;648;188;161
Vampiro;"Matu??, Wiu, ";3;2022;1;30;540;188;115
Labyrinth;Taylor Swift;1;2022;10;21;1597;187;110
Sweet Nothing;Taylor Swift;1;2022;10;21;1747;186;177
10 Things I Hate About You;Leah Kate;1;2022;3;23;1301;186;154
TUS L??GR;Sech, Mora;2;2022;4;1;1308;185;174
Good Looking;Suki Waterhouse;1;2017;10;20;2264;185;150
Flowers;Lauren Spencer Smith;1;2021;8;9;801;185;138
The Family Madrigal;Olga Merediz, Stephanie Beatriz, Encanto - Cast;3;2021;11;19;1150;185;141
Cigarettes;Juice WRLD;1;2021;12;10;975;185;160
Tak Ingin Usai;Keisya Levronka;1;2022;5;13;220;185;130
Prohibidox;Feid;1;2022;9;13;1473;185;180
GIVENCHY;Duki;1;2022;7;20;625;185;103
All Of The Girls You Loved Before;Taylor Swift;1;2019;8;23;1282;185;96
All Of The Girls You Loved Before;Taylor Swift;1;2019;8;23;1282;185;96
Escapism. - Sped Up;RAYE, 070 Shake;2;2022;11;25;1368;184;108
Sprinter;Dave, Central Cee;2;2023;6;1;2186;184;141
Sprinter;Dave, Central Cee;2;2023;6;1;2186;184;141
Sprinter;Dave, Central Cee;2;2023;6;1;2186;184;141
Escapism. - Sped Up;RAYE, 070 Shake;2;2022;11;25;1368;184;108
Sprinter;Dave, Central Cee;2;2023;6;1;2186;184;141
295;Sidhu Moose Wala;1;2021;5;15;246;183;90
DARARI;Treasure;1;2022;2;15;328;183;85
Shut up My Moms Calling - (Sped Up);Hotel Ugly;1;2022;9;14;713;182;85
Shut up My Moms Calling - (Sped Up);Hotel Ugly;1;2022;9;14;713;182;85
You Make It Feel Like Christmas (feat. Blake Shelton);Gwen Stefani, Blake Shelton;2;2005;9;20;2577;181;93
You Make It Feel Like Christmas (feat. Blake Shelton);Gwen Stefani, Blake Shelton;2;2005;9;20;2577;181;93
Hrs and Hrs;Muni Long;1;2021;11;19;1800;181;140
The Great War;Taylor Swift;1;2022;10;21;1274;181;96
Tak Segampang Itu;Anggi Marito;1;2022;12;2;213;180;130
Tak Segampang Itu;Anggi Marito;1;2022;12;2;213;180;130
Jingle Bells - Remastered 1999;Frank Sinatra;1;1957;1;1;4326;179;175
Jingle Bells - Remastered 1999;Frank Sinatra;1;1957;1;1;4326;179;175
Si Te La Encuentras Por Ah?;Feid;1;2022;8;5;1379;179;172
Si Quieren Frontear;De La Ghetto, Duki, Quevedo;3;2022;3;31;859;179;82
Would ve, Could ve, Should ve;Taylor Swift;1;2022;10;21;1715;178;158
Baby Don t Hurt Me;David Guetta, Anne-Marie, Coi Leray;3;2023;4;6;4277;178;128
Baby Don t Hurt Me;David Guetta, Anne-Marie, Coi Leray;3;2023;4;6;4277;178;128
TQM;Fuerza Regida;1;2023;5;19;584;177;125
TQM;Fuerza Regida;1;2023;5;19;584;177;125
S??;Anuel Aa, Myke Towers, Jhay Cortez;3;2021;11;18;903;177;90
sentaDONA (Remix) s2;Lu??sa Sonza, MC Frog, Dj Gabriel do Borel, Davi K;4;2022;3;17;870;176;135
Celestial;Ed Sheeran;1;2022;9;29;1639;176;123
Ai Preto;L7nnon, DJ Biel do Furduncinho, Bianca;3;2022;6;3;894;176;130
Search & Rescue;Drake;1;2023;4;7;2066;175;142
WANDA;Quevedo;1;2023;1;20;888;175;176
Search & Rescue;Drake;1;2023;4;7;2066;175;142
WANDA;Quevedo;1;2023;1;20;888;175;176
Like Crazy (English Version);Jimin;1;2023;3;24;373;174;120
Evoque Prata;DJ Escobar, MC MENOR SG, MC MENOR HR;3;2022;9;9;852;174;87
Like Crazy (English Version);Jimin;1;2023;3;24;373;174;120
Evoque Prata;DJ Escobar, MC MENOR SG, MC MENOR HR;3;2022;9;9;852;174;87
Rich Spirit;Kendrick Lamar;1;2022;5;13;3486;174;96
Chemical;Post Malone;1;2023;4;14;2528;173;170
Chemical;Post Malone;1;2023;4;14;2528;173;170
ALIEN SUPERSTAR;Beyonc?;1;2022;7;29;2688;172;122
STAYING ALIVE (feat. Drake & Lil Baby);Drake, DJ Khaled, Lil Baby;3;2022;8;5;2107;171;130
Nxde;(G)I-DLE;1;2022;10;17;430;171;136
On BS;Drake, 21 Savage;2;2022;11;4;1338;170;158
Gatita;Bellakath;1;2022;10;3;1054;169;101
Gatita;Bellakath;1;2022;10;3;1054;169;101
Set Me Free Pt.2;Jimin;1;2023;3;17;340;168;132
Set Me Free Pt.2;Jimin;1;2023;3;17;340;168;132
Sial;Mahalini;1;2023;1;23;134;167;120
Sial;Mahalini;1;2023;1;23;134;167;120
Dos Oruguitas;Sebastian Yatra;1;2021;11;19;925;167;94
If We Ever Broke Up;Mae Stephens;1;2023;2;10;2040;166;116
If We Ever Broke Up;Mae Stephens;1;2023;2;10;2040;166;116
Makeba;Jain;1;2015;6;22;6060;165;116
Makeba;Jain;1;2015;6;22;6060;165;116
En El Radio Un Cochinero;Victor Cibrian;1;2022;5;13;514;165;154
Paulo Londra: Bzrp Music Sessions, Vol. 23;Bizarrap, Paulo Londra;2;2022;4;25;928;164;96
Shorty Party;Cartel De Santa, La Kelly;2;2023;3;4;432;163;96
Blind;SZA;1;2022;12;9;1484;163;114
Shorty Party;Cartel De Santa, La Kelly;2;2023;3;4;432;163;96
Blind;SZA;1;2022;12;9;1484;163;114
Chanel;Becky G, Peso Pluma;2;2023;3;30;681;161;132
Chanel;Becky G, Peso Pluma;2;2023;3;30;681;161;132
Die Young (feat. 347aidan);Sleepy hallow, 347aidan;2;2022;5;25;896;161;77
Beautiful Girl;Luciano;1;2022;4;22;710;160;140
BABY OTAKU;Fran C, Polima WestCoast, Nickoog Clk, Pablito Pesadilla;4;2022;8;18;836;159;102
Igualito a Mi Ap?;Fuerza Regida, Peso Pluma;2;2022;12;30;265;159;145
Igualito a Mi Ap?;Fuerza Regida, Peso Pluma;2;2022;12;30;265;159;145
RUMBAT?;Daddy Yankee;1;2022;3;25;1264;158;95
United In Grief;Kendrick Lamar;1;2022;5;13;2575;157;87
Pope Is a Rockstar;SALES;1;2016;4;20;1966;157;90
Antes de Perderte;Duki;1;2022;6;2;584;157;110
Kahani Suno 2.0;Kaifi Khalil;1;2022;5;31;162;157;140
Fast Car;Luke Combs;1;2023;3;24;1446;157;98
Kahani Suno 2.0;Kaifi Khalil;1;2022;5;31;162;157;140
Fast Car;Luke Combs;1;2023;3;24;1446;157;98
Boy s a liar Pt. 2;PinkPantheress, Ice Spice;2;2023;2;3;5184;156;133
Boy s a liar;PinkPantheress;1;2022;11;30;1225;156;133
Malas Decisiones;Kenia OS;1;2022;10;26;542;156;110
Open Arms (feat. Travis Scott);SZA, Travis Scott;2;2022;12;8;1420;156;78
Boy s a liar Pt. 2;PinkPantheress, Ice Spice;2;2023;2;3;5184;156;133
Boy s a liar;PinkPantheress;1;2022;11;30;1225;156;133
Malas Decisiones;Kenia OS;1;2022;10;26;542;156;110
Open Arms (feat. Travis Scott);SZA, Travis Scott;2;2022;12;8;1420;156;78
MORE;j-hope;1;2022;7;1;565;156;97
Major Distribution;Drake, 21 Savage;2;2022;11;4;1545;155;131
What Else Can I Do?;Stephanie Beatriz, Diane Guerrero;2;2021;11;19;802;155;120
Malvada;Z?? Fe;1;2022;1;28;601;154;135
Miss You;Southstar;1;1982;5;16;2020;154;145
Freaky Deaky;Tyga, Doja Cat;2;2022;2;25;1729;153;104
VIBE (feat. Jimin of BTS);TAEYANG, Jimin;2;2023;1;13;415;153;100
AMARGURA;Karol G;1;2023;2;24;1133;153;107
Erro Gostoso - Ao Vivo;Simone Mendes;1;2023;1;27;984;153;154
VIBE (feat. Jimin of BTS);TAEYANG, Jimin;2;2023;1;13;415;153;100
AMARGURA;Karol G;1;2023;2;24;1133;153;107
Erro Gostoso - Ao Vivo;Simone Mendes;1;2023;1;27;984;153;154
Dua Lipa;Jack Harlow;1;2022;5;6;1992;151;158
Tormenta (feat. Bad Bunny);Gorillaz, Bad Bunny;2;2023;2;24;1529;150;95
Tormenta (feat. Bad Bunny);Gorillaz, Bad Bunny;2;2023;2;24;1529;150;95
One Thing At A Time;Morgan Wallen;1;2022;12;2;811;148;142
Love Again;The Kid Laroi;1;2023;1;27;1283;148;107
One Thing At A Time;Morgan Wallen;1;2022;12;2;811;148;142
Love Again;The Kid Laroi;1;2023;1;27;1283;148;107
Talk;YEAT;1;2022;9;2;920;148;140
The Joker And The Queen (feat. Taylor Swift);Ed Sheeran, Taylor Swift;2;2022;2;11;1430;147;134
Di Que Si;Grupo Marca Registrada, Grupo Frontera;2;2023;2;3;356;147;182
Di Que Si;Grupo Marca Registrada, Grupo Frontera;2;2023;2;3;356;147;182
Mas Rica Que Ayer;Mambo Kingz, DJ Luian, Anuel Aa;3;2023;3;2;1208;146;94
Mas Rica Que Ayer;Mambo Kingz, DJ Luian, Anuel Aa;3;2023;3;2;1208;146;94
That s Hilarious;Charlie Puth;1;2022;4;8;686;146;108
Bamba (feat. Aitch & BIA);Luciano, Aitch, B?;3;2022;9;22;869;146;138
Heaven;Niall Horan;1;2023;2;17;1553;145;92
Oi Balde - Ao Vivo;Z?? Neto & Crist;1;2023;2;14;845;145;108
All My Life (feat. J. Cole);J. Cole, Lil Durk;2;2023;5;12;2175;145;143
Heaven;Niall Horan;1;2023;2;17;1553;145;92
Oi Balde - Ao Vivo;Z?? Neto & Crist;1;2023;2;14;845;145;108
All My Life (feat. J. Cole);J. Cole, Lil Durk;2;2023;5;12;2175;145;143
????????????;YOASOBI;1;2023;4;12;356;144;166
????????????;YOASOBI;1;2023;4;12;356;144;166
212;Mainstreet, Chefin;2;2022;1;15;352;143;154
Circo Loco;Drake, 21 Savage;2;2022;11;4;1794;142;104
Un Finde | CROSSOVER #2;Big One, FMK, Ke personajes;3;2023;4;4;561;142;192
Un Finde | CROSSOVER #2;Big One, FMK, Ke personajes;3;2023;4;4;561;142;192
